colony,head_width,source
17-17,1454.38,colony
17-17,1234.17,colony
17-17,1275.2,colony
17-17,1406.54,colony
17-17,1283.08,colony
17-17,1228.3,colony
17-17,1319.05,colony
17-17,1313.27,colony
17-17,1329.78,colony
17-17,1400.3,colony
17-17,1364.9,colony
17-17,1337.57,colony
17-17,1307.33,colony
17-17,1381.17,colony
17-17,1294.48,colony
17-17,1351.41,colony
17-17,1544.13,colony
17-17,1332.09,colony
17-17,1361.24,colony
17-17,1293.63,colony
17-17,1273.32,colony
17-17,1247.37,colony
17-17,1329.03,colony
17-17,1530.29,colony
17-17,1233.46,colony
17-17,1533.92,colony
17-17,1473.53,colony
17-17,1281.78,colony
17-17,1501.87,colony
17-17,1272.41,colony
17-17,1331.78,colony
17-17,1349.18,colony
17-17,1398.85,colony
17-17,1339.79,colony
17-17,1341.09,colony
17-17,1177.09,colony
17-17,1257.01,colony
17-17,1443.63,colony
17-17,1310.54,colony
17-17,1535.8,colony
17-17,1402.27,colony
17-17,1267.84,colony
17-17,1336.34,colony
17-17,1399.77,colony
17-17,1402.71,colony
17-17,1418.22,colony
17-17,1329.98,colony
17-17,1196.39,colony
17-17,1422.6,colony
17-17,1459.97,colony
17-17,1306.43,colony
17-17,1506.12,colony
17-17,1419.25,colony
17-17,1202.09,colony
17-17,1274.58,colony
17-17,1386.78,colony
17-39,1193.66,foragers
17-39,1221.52,foragers
17-39,1089.41,foragers
17-39,1081.33,foragers
17-39,1357.64,foragers
17-39,1070.4,foragers
17-39,1039.59,foragers
17-39,1083.52,foragers
17-39,1120.49,foragers
17-39,993.31,foragers
17-39,1103.88,foragers
17-39,1163.72,foragers
17-39,1197.65,foragers
17-39,1035.81,foragers
17-39,1053.11,foragers
17-39,1183.82,foragers
17-38,1505.39,foragers
17-38,1099.9,foragers
17-38,1095.54,foragers
17-38,1507.7,foragers
17-38,1267.77,foragers
17-38,1488.78,foragers
17-38,1603.59,foragers
17-38,1127.51,foragers
17-38,1042.05,foragers
17-38,1082.93,foragers
17-38,1151.8,foragers
17-38,1513.96,foragers
17-38,1591.14,foragers
17-38,1406.75,foragers
17-38,1354.25,foragers
17-38,1273.15,foragers
17-38,1247.19,foragers
17-38,1274.76,foragers
17-38,1217.09,foragers
17-38,1240.88,foragers
17-38,1237.49,foragers
17-38,1312.43,foragers
17-38,1188.08,foragers
17-38,1504.23,foragers
17-38,1175.65,foragers
17-38,1261.08,foragers
17-38,1301.98,foragers
17-36,1201.05,colony
17-36,1278.06,colony
17-36,1185.8,colony
17-36,1444.08,colony
17-36,1284.63,colony
17-36,1138.46,colony
17-36,1221.28,colony
17-36,1040.28,colony
17-36,1428.49,colony
